Student_ID,Name,Age,Gender,Marks,City
101,Aarav,20.0,Male,85.0,Mumbai
102,Priya,21.0,Female,90.0,Pune
103,Rohan,21.0,Male,78.0,Mumbai
104,Ananya,20.0,Female,88.0,Pune
105,Vikram,22.0,Male,92.0,Nashik
106,Neha,21.0,Female,85.23,Mumbai
107,Rahul,20.0,Male,75.0,Pune
108,Sneha,22.0,Female,95.0,Mumbai
109,Arjun,21.0,Male,80.0,Nashik
110,Isha,20.0,Female,87.0,Pune
111,Karan,21.0,Male,82.0,Mumbai
112,Meera,21.0,Female,91.0,Pune
113,Aditya,22.0,Male,76.0,Mumbai
114,Riya,20.0,Female,89.0,Nashik
